A FEED,D FEED
3657.80 ,4542.60 
3644.60 ,4535.60 
3723.60 ,4462.00 
3719.30 ,4489.80 
3666.80 ,4528.20 
3684.30 ,4511.20 
3711.40 ,4543.20 
3683.90 ,4557.00 
3639.60 ,4584.90 
3664.70 ,4541.80 
3688.00 ,4508.70 
3651.60 ,4552.80 
3715.10 ,4509.90 
3674.80 ,4536.50 
3614.80 ,4593.20 
3666.90 ,4538.90 
3672.60 ,4489.80 
3678.90 ,4520.00 
3624.40 ,4530.60 
3688.70 ,4476.50 
3671.60 ,4429.00 
3657.00 ,4476.20 
3705.50 ,4521.80 
3696.40 ,4504.10 
3615.60 ,4493.00 
3634.10 ,4485.60 
3640.40 ,4526.80 
3640.80 ,4515.60 
3689.80 ,4476.90 
3673.60 ,4523.50 
3691.70 ,4451.20 
3665.10 ,4480.10 
3666.30 ,4496.70 
3661.20 ,4533.10 
3655.00 ,4486.90 
3640.70 ,4491.20 
3718.20 ,4518.50 
3714.30 ,4529.40 
3693.50 ,4492.40 
3684.50 ,4470.20 
3671.10 ,4528.60 
3663.70 ,4515.00 
3655.70 ,4478.40 
3653.50 ,4504.80 
3664.20 ,4490.60 
3640.40 ,4514.40 
3706.90 ,4510.10 
3662.80 ,4503.80 
3631.80 ,4467.20 
3650.60 ,4497.10 
3660.20 ,4524.10 
3669.30 ,4481.80 
3686.40 ,4441.60 
3695.10 ,4482.80 
3644.00 ,4551.20 
3660.90 ,4595.50 
3686.10 ,4545.90 
3698.90 ,4496.90 
3652.70 ,4456.90 
3659.00 ,4546.30 
3659.00 ,4536.80 
3665.60 ,4493.10 
3623.10 ,4486.30 
3613.90 ,4520.10 
3684.60 ,4519.70 
3650.50 ,4489.50 
3636.00 ,4486.10 
3651.90 ,4495.20 
3710.60 ,4525.40 
3675.00 ,4533.00 
3648.30 ,4567.10 
3630.80 ,4544.90 
3661.70 ,4539.20 
3682.90 ,4521.00 
3654.30 ,4476.40 
3661.10 ,4502.50 
3699.70 ,4488.80 
3670.50 ,4488.60 
3592.70 ,4576.10 
3643.10 ,4564.00 
3656.90 ,4503.20 
3629.10 ,4458.60 
3715.20 ,4483.40 
3706.20 ,4514.40 
3714.70 ,4492.50 
3693.10 ,4512.60 
3686.80 ,4519.40 
3696.40 ,4483.40 
3670.00 ,4525.00 
3615.20 ,4507.80 
3685.70 ,4558.80 
3710.00 ,4498.40 
3666.20 ,4532.50 
3660.80 ,4517.10 
3652.80 ,4484.90 
3613.70 ,4483.00 
3647.40 ,4453.50 
3653.60 ,4497.10 
3662.10 ,4542.60 
3625.60 ,4471.90 
3667.70 ,4545.30 
3684.00 ,4478.70 
3651.20 ,4447.00 
3634.20 ,4487.40 
3596.10 ,4570.50 
3636.10 ,4536.90 
3620.20 ,4511.60 
3649.40 ,4490.30 
3719.90 ,4504.90 
3678.20 ,4489.80 
3683.70 ,4479.20 
3676.00 ,4494.00 
3722.10 ,4464.50 
3702.40 ,4499.00 
3634.50 ,4522.90 
3697.20 ,4534.60 
3626.60 ,4505.60 
3626.30 ,4555.40 
3625.10 ,4450.60 
3642.90 ,4460.50 
3685.60 ,4501.90 
3676.30 ,4528.80 
3676.60 ,4496.40 
3694.10 ,4490.90 
3675.00 ,4438.70 
3661.90 ,4469.20 
3601.40 ,4454.80 
3580.50 ,4465.00 
3705.40 ,4498.80 
3719.90 ,4520.10 
3721.80 ,4490.80 
3717.60 ,4467.50 
3676.60 ,4481.30 
3655.40 ,4510.20 
3653.60 ,4482.10 
3662.10 ,4520.60 
3620.10 ,4530.40 
3620.30 ,4539.30 
3663.60 ,4484.10 
3655.60 ,4514.10 
3657.30 ,4549.40 
3659.90 ,4496.70 
3679.90 ,4540.80 
3699.10 ,4533.40 
3647.90 ,4516.50 
3630.10 ,4515.30 
3711.10 ,4516.30 
3709.40 ,4548.90 
3706.50 ,4552.70 
3678.70 ,4488.50 
3652.20 ,4534.70 
3689.40 ,4560.90 
3644.90 ,4550.20 
3609.90 ,4533.00 
3675.00 ,4537.30 
3657.80 ,4479.20 
3678.20 ,4512.00 
3674.20 ,4476.90 
3649.40 ,4492.70 
3650.40 ,4455.10 
3643.40 ,4494.50 
3622.80 ,4476.00 
3749.20 ,4481.80 
3716.90 ,4470.90 
3640.60 ,4510.50 
3663.40 ,4535.50 
3703.90 ,4517.00 
3680.70 ,4458.80 
3629.30 ,4510.00 
3608.30 ,4518.00 
3673.30 ,4514.50 
3711.20 ,4529.90 
3684.70 ,4514.20 
3626.30 ,4571.80 
3754.70 ,4503.20 
3712.40 ,4485.70 
3627.20 ,4528.80 
3664.10 ,4568.50 
3651.30 ,4483.20 
3642.00 ,4540.20 
3637.90 ,4557.20 
3636.30 ,4528.00 
3647.20 ,4475.90 
3638.10 ,4515.30 
3711.10 ,4493.80 
3751.20 ,4507.30 
3631.70 ,4492.30 
3636.50 ,4525.30 
3678.60 ,4550.90 
3711.40 ,4489.20 
3637.80 ,4483.60 
3657.40 ,4530.70 
3627.00 ,4534.90 
3653.00 ,4485.80 
3663.90 ,4483.50 
3637.60 ,4475.30 
3626.40 ,4514.90 
3672.50 ,4509.40 
3652.20 ,4524.40 
3683.90 ,4558.50 
3639.80 ,4514.80 
3646.20 ,4560.30 
3590.80 ,4539.70 
3649.50 ,4524.40 
3673.30 ,4481.20 
3649.70 ,4454.60 
3619.70 ,4536.80 
3632.70 ,4508.00 
3669.40 ,4479.30 
3698.90 ,4466.10 
3632.20 ,4549.90 
3594.60 ,4532.70 
3643.20 ,4528.20 
3611.00 ,4513.40 
3591.80 ,4495.40 
3559.50 ,4501.70 
3629.00 ,4543.70 
3641.60 ,4533.20 
3655.10 ,4471.70 
3593.80 ,4487.20 
3637.90 ,4537.70 
3646.70 ,4554.00 
3675.50 ,4515.20 
3692.80 ,4467.40 
3665.90 ,4522.50 
3679.30 ,4518.10 
3645.00 ,4500.20 
3681.70 ,4517.70 
3631.50 ,4531.80 
3664.90 ,4527.90 
3682.20 ,4542.50 
3707.00 ,4525.80 
3665.20 ,4564.50 
3654.10 ,4588.00 
3659.80 ,4545.10 
3690.40 ,4562.50 
3688.00 ,4526.80 
3664.40 ,4548.40 
3691.70 ,4520.30 
3722.50 ,4471.50 
3695.90 ,4466.20 
3685.20 ,4471.40 
3667.70 ,4576.50 
3623.50 ,4538.20 
3696.80 ,4535.90 
3700.70 ,4523.10 
3660.80 ,4548.00 
3654.80 ,4551.10 
3677.90 ,4547.80 
3670.50 ,4549.70 
3654.50 ,4565.40 
3693.00 ,4507.50 
3640.00 ,4549.50 
3623.90 ,4536.50 
3629.10 ,4464.90 
3618.60 ,4470.20 
3676.00 ,4506.20 
3641.90 ,4535.30 
3728.40 ,4495.40 
3731.60 ,4501.00 
3704.30 ,4474.20 
3704.70 ,4517.90 
3731.40 ,4485.30 
3708.50 ,4492.40 
3590.30 ,4511.50 
3601.00 ,4479.10 
3668.20 ,4538.10 
3703.50 ,4447.90 
3674.40 ,4514.90 
3634.10 ,4492.60 
3679.50 ,4548.80 
3690.10 ,4473.50 
3636.20 ,4490.30 
3689.30 ,4460.10 
3672.50 ,4474.60 
3694.10 ,4547.50 
3571.50 ,4562.60 
3579.60 ,4524.60 
3643.80 ,4489.40 
3651.30 ,4505.90 
3623.70 ,4484.90 
3607.40 ,4486.70 
3670.80 ,4520.00 
3676.60 ,4505.50 
3702.60 ,4531.30 
3703.90 ,4518.00 
3683.10 ,4502.90 
3696.80 ,4469.70 
3706.10 ,4440.00 
3716.90 ,4496.90 
3675.20 ,4498.40 
3626.50 ,4445.10 
3676.60 ,4525.40 
3693.10 ,4494.30 
3606.80 ,4532.90 
3648.10 ,4477.90 
3673.80 ,4521.20 
3659.70 ,4519.10 
3675.00 ,4526.50 
3685.50 ,4494.40 
3707.40 ,4538.70 
3661.80 ,4537.90 
3675.00 ,4524.50 
3656.60 ,4500.10 
3675.30 ,4434.90 
3673.70 ,4460.50 
3645.50 ,4499.80 
3646.30 ,4532.70 
3639.90 ,4495.30 
3674.30 ,4547.30 
3683.00 ,4527.00 
3664.30 ,4514.10 
3692.70 ,4551.70 
3673.40 ,4515.60 
3718.30 ,4526.50 
3710.60 ,4493.40 
3631.70 ,4515.10 
3607.50 ,4507.10 
3699.50 ,4478.80 
3715.30 ,4505.10 
3635.40 ,4600.70 
3657.60 ,4583.50 
3633.60 ,4465.60 
3610.80 ,4504.30 
3683.40 ,4498.30 
3666.90 ,4553.50 
3615.60 ,4509.80 
3675.00 ,4446.10 
3657.10 ,4535.30 
3646.60 ,4500.70 
3703.90 ,4536.50 
3677.70 ,4549.20 
3677.70 ,4499.00 
3671.40 ,4560.60 
3685.70 ,4579.00 
3645.50 ,4538.30 
3688.20 ,4539.90 
3691.90 ,4565.90 
3648.80 ,4529.40 
3626.70 ,4541.60 
3685.30 ,4528.30 
3654.30 ,4517.50 
3643.30 ,4526.60 
3647.10 ,4558.60 
3597.80 ,4482.80 
3628.80 ,4491.70 
3696.20 ,4534.80 
3703.50 ,4527.60 
3648.70 ,4485.30 
3657.70 ,4490.90 
3677.80 ,4537.50 
3691.80 ,4504.50 
3653.60 ,4506.60 
3656.90 ,4579.30 
3696.80 ,4507.30 
3649.30 ,4529.60 
3628.30 ,4481.80 
3634.50 ,4519.90 
3599.90 ,4473.60 
3615.60 ,4492.70 
3674.80 ,4515.70 
3664.80 ,4558.00 
3707.70 ,4510.90 
3682.50 ,4540.60 
3683.30 ,4526.70 
3681.50 ,4554.00 
3657.40 ,4438.00 
3693.20 ,4506.90 
3684.90 ,4525.10 
3706.60 ,4525.80 
3660.60 ,4484.20 
3694.90 ,4500.00 
3631.50 ,4548.40 
3675.30 ,4519.20 
3656.00 ,4472.10 
3633.30 ,4526.00 
3607.00 ,4538.50 
3630.10 ,4496.90 
3625.10 ,4507.90 
3644.70 ,4496.90 
3724.30 ,4505.90 
3720.60 ,4486.30 
